Index	Zip	City	Income
0	90001	Los Angeles (South Los Angeles), Florence-Graham	$43,360 
1	90002	Los Angeles (Southeast Los Angeles, Watts)	$37,285 
2	90003	Los Angeles (South Los Angeles, Southeast Los Angeles)	$40,598 
3	90004	Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)	$49,675 
4	90005	Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)	$38,491 
5	90006	Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)	$37,072 
6	90007	Los Angeles (Southeast Los Angeles, Univerity Park)	$27,406 
7	90008	Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)	$43,364 
8	90010	Los Angeles (Hancock Park, Wilshire Center, Windsor Square)	$63,112 
9	90011	Los Angeles (Southeast Los Angeles)	$40,940 
10	90012	Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)	$47,027 
11	90013	Los Angeles (Downtown Central, Downtown Fashion District)	$22,316 
12	90014	Los Angeles (Downtown Historic Core, Arts District)	$40,641 
13	90015	Los Angeles (Dowtown Fashion District, South Park-South)	$43,890 
14	90016	Los Angeles (West Adams)	$48,715 
15	90017	Los Angeles (Downtown Bunker Hill, City West, South Park-North)	$35,605 
16	90018	Los Angeles (Jefferson Park, Leimert Park)	$45,984 
17	90019	Los Angeles (Arlington Heights, Country Club Park, Mid-City)	$56,389 
18	90020	Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)	$49,068 
19	90021	Los Angeles (Downtown Fashion District, Downtown Southeast)	$21,635 
20	90022	East Los Angeles	$46,051 
21	90023	Commerce, East Los Angeles	$42,972 
22	90024	Los Angeles (Westwood)	$65,855 
23	90025	Los Angeles (Sawtelle, West Los Angeles)	$87,280 
24	90026	Los Angeles (Echo Park, Silver Lake)	$65,269 
25	90027	Los Angeles (Griffith Park, Hollywood, Los Feliz)	$66,947 
26	90028	Los Angeles (Hollywood)	$45,499 
27	90029	Los Angeles (East Hollywood)	$41,998 
28	90031	Los Angeles (Lincoln Heights, Montecito Heights)	$48,479 
29	90032	Los Angeles (El Sereno, Monterey Hills)	$57,225 
30	90033	Los Angeles (Boyle Heights)	$38,266 
31	90034	Los Angeles (Palms)	$75,714 
32	90035	Los Angeles (West Fairfax)	$89,337 
33	90036	Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)	$80,539 
34	90037	Los Angeles (South Los Angeles)	$35,424 
35	90038	Los Angeles (Hollywood)	$47,116 
36	90039	Los Angeles (Atwater Village, Elysian Valley, Silver Lake)	$90,538 
37	90040	Commerce, City of	$47,120 
38	90041	Los Angeles (Eagle Rock)	$85,971 
39	90042	Los Angeles (Highland Park)	$64,267 
40	90043	Los Angeles (Hyde Park, View Park, Windsor Hills)	$54,729 
41	90044	Athens, Los Angeles (South Los Angeles)	$35,981 
42	90045	Los Angeles (Los Angeles International Airport, Westchester)	$104,578 
43	90046	Los Angeles (Hollywood), West Hollywood	$72,266 
44	90047	Los Angeles (South Los Angeles)	$52,605 
45	90048	Los Angeles (Mid-City West), West Hollywood	$100,586 
46	90049	Los Angeles (Bel Air Estates, Brentwood)	$129,688 
47	90056	Ladera Heights	$92,656 
48	90057	Los Angeles (Westlake)	$37,700 
49	90058	Los Angeles (Southeast Los Angeles), Vernon	$21,964 
50	90059	Los Angeles (Southeast Los Angeles, Watts), Willowbrook	$44,838 
51	90061	Los Angeles (South Los Angeles)	$42,500 
52	90062	Los Angeles (South Los Angeles)	$49,443 
53	90063	City Terrace, Los Angeles (Boyle Heights)	$48,559 
54	90064	Los Angeles (Cheviot Hills, Rancho Park)	$102,117 
55	90065	Los Angeles (Cypress Park, Glassell Park, Mt Washington)	$67,479 
56	90066	Culver City, Los Angeles (Mar Vista)	$83,899 
57	90067	Los Angeles (Century City)	$118,393 
58	90068	Los Angeles (Hollywood)	$88,535 
59	90069	Los Angeles (Hollywood, Melrose), West Hollywood	$93,380 
60	90071	Los Angeles (Downtown Bunker Hill, City West, Historic Core, South Park-North)	$61,875 
61	90077	Los Angeles (Bel Air Estates, Beverly Glen)	$209,531 
62	90094	Los Angeles (Playa Vista)	$155,417 
63	90201	Bell, Bell Gardens, Cudahy	$44,046 
64	90210	Beverly Hills	$147,270 
65	90211	Beverly Hills	$86,437 
66	90212	Beverly Hills	$95,080 
67	90220	Compton, Rancho Dominguez	$57,074 
68	90221	Compton, East Rancho Dominguez	$51,377 
69	90222	Compton, Rosewood, Willowbrook	$49,894 
70	90230	Culver City	$85,524 
